step,phase,cube_x,cube_y,cube_z,tcp_x,tcp_y,tcp_z,wrist_x,wrist_y,wrist_z,xy_dist,tcp_minus_cube_z,hover_z,grasp_z,hover_z_error,grasp_z_error,finger_pos,is_closed,close_too_high,ori_error_rad,tcp_qw,tcp_qx,tcp_qy,tcp_qz,a0,a1,a2,a3,a4,a5,a6
0,SEARCHING,0.5225919485092163,-0.24497057497501373,0.05205700173974037,0.8455294370651245,0.15823020040988922,0.3209383189678192,0.8696717023849487,0.15777364373207092,0.4993114173412323,0.5165844559669495,0.26888132095336914,0.23205700173974037,0.08705700173974038,0.08888131722807885,0.23388131722807884,-0.00036678233300335705,0,0,1.5395854711532593,-0.04575204849243164,-0.7180549502372742,0.6927321553230286,0.04925525188446045,-7.244236946105957,-9.343772888183594,-3.962754487991333,-1.7847530841827393,1.5703010559082031,-1.0289250612258911,3.3622753620147705
1,SEARCHING,0.5225919485092163,-0.24497057497501373,0.0451899990439415,0.8365569114685059,0.12744174897670746,0.3202691376209259,0.8533738255500793,0.12695573270320892,0.49948111176490784,0.48709848523139954,0.2750791311264038,0.2251899990439415,0.0801899990439415,0.09507913857698441,0.2400791385769844,0.003921340219676495,0,0,1.5433709621429443,-0.03160357475280762,-0.7167363166809082,0.6957730054855347,0.03449612855911255,-4.709952354431152,-4.439253330230713,-7.4812774658203125,-0.3887663185596466,0.6890334486961365,1.3010636568069458,3.0784780979156494
2,SEARCHING,0.5225919485092163,-0.24497057497501373,0.03439899906516075,0.8261981010437012,0.09241980314254761,0.3199943006038666,0.8355533480644226,0.09275420010089874,0.49975067377090454,0.453882098197937,0.2855952978134155,0.21439899906516074,0.06939899906516075,0.10559530153870583,0.2505953015387058,3.0032742870389484e-05,0,0,1.5438318252563477,-0.01879173517227173,-0.7165756225585938,0.6970241069793701,0.0179862380027771,-5.160147666931152,-5.805857181549072,-5.8545241355896,-0.6535478234291077,0.8508003354072571,0.44320616126060486,2.573212146759033
3,SEARCHING,0.522585928440094,-0.2449418008327484,0.02100101113319397,0.8137666583061218,0.05903400480747223,0.31926047801971436,0.815721869468689,0.06053610518574715,0.4992435574531555,0.4209364652633667,0.2982594668865204,0.20100101113319396,0.05600101113319397,0.11825946688652039,0.26325946688652035,2.3016402337816544e-05,0,0,1.5495998859405518,-0.006781160831451416,-0.7145609855651855,0.6995395421981812,0.0009621381759643555,-5.091994285583496,-4.641923904418945,-7.344318866729736,-0.6076002717018127,0.8949856162071228,1.0020676851272583,3.0757393836975098
4,SEARCHING,0.5225898027420044,-0.24495506286621094,0.02099992148578167,0.7994217276573181,0.02738604135811329,0.31806203722953796,0.7940574884414673,0.030422525480389595,0.49795642495155334,0.3883369565010071,0.29706212878227234,0.20099992148578166,0.05599992148578167,0.1170621157437563,0.26206211574375626,1.8038315829471685e-05,0,0,1.5546846389770508,0.004437267780303955,-0.7127801179885864,0.7011783719062805,-0.016539931297302246,-5.1131415367126465,-4.511821269989014,-7.509103298187256,-0.636799156665802,0.8929052352905273,0.9784073233604431,3.099872350692749
5,SEARCHING,0.5225896835327148,-0.2449548989534378,0.020999932661652565,0.7833421230316162,-0.0023694324772804976,0.31637710332870483,0.7707552909851074,0.0025405792985111475,0.49586933851242065,0.3561454117298126,0.2953771650791168,0.20099993266165256,0.05599993266165257,0.11537717066705228,0.26037717066705224,1.2335670362517703e-05,0,0,1.5616555213928223,0.014907479286193848,-0.7103311419487,0.702864944934845,-0.034470558166503906,-4.814258575439453,-4.022896766662598,-7.684785842895508,-0.5815012454986572,0.855019211769104,1.1049283742904663,2.972245693206787
6,SEARCHING,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.7657682299613953,-0.030145999044179916,0.31407630443573,0.7460997104644775,-0.02303149178624153,0.4928569197654724,0.3244667053222656,0.29307639598846436,0.20099992148578166,0.05599992148578167,0.11307638294994832,0.2580763829499483,-2.6159971411310323e-10,0,0,1.5694756507873535,0.02457571029663086,-0.7075735330581665,0.7042389512062073,-0.052754342555999756,-4.500067234039307,-3.7266623973846436,-7.709515571594238,-0.5442973971366882,0.8332810997962952,1.1306999921798706,2.8385109901428223
7,SEARCHING,0.5225897431373596,-0.244954913854599,0.020999955013394356,0.7472091317176819,-0.05595859885215759,0.3097933530807495,0.7209345698356628,-0.046412188559770584,0.48760926723480225,0.2935532033443451,0.2887933850288391,0.20099995501339435,0.05599995501339436,0.10879339806735516,0.2537933980673551,6.42305042486413e-10,0,0,1.578255295753479,0.03300672769546509,-0.7044647336006165,0.7054519653320312,-0.07055038213729858,-4.169915676116943,-3.4105918407440186,-7.77791690826416,-0.5029336810112,0.8197407722473145,1.1847692728042603,2.7088370323181152
8,SEARCHING,0.5225897431373596,-0.2449548989534378,0.020999928936362267,0.7280409932136536,-0.07988651096820831,0.30166807770729065,0.6960999965667725,-0.06788555532693863,0.4784044325351715,0.26354846358299255,0.28066813945770264,0.20099992893636226,0.05599992893636227,0.10066814877092839,0.24566814877092838,-4.2699899172049527e-10,0,0,1.5876086950302124,0.03968328237533569,-0.7011377811431885,0.7066400051116943,-0.08654963970184326,-3.8360595703125,-3.13950252532959,-7.682055473327637,-0.4596572518348694,0.7955881953239441,1.189077377319336,2.5453248023986816
9,SEARCHING,0.5225897431373596,-0.2449548989534378,0.02099989913403988,0.7084640264511108,-0.10203927755355835,0.28835228085517883,0.6721506118774414,-0.08777942508459091,0.46407362818717957,0.2344656139612198,0.2673523724079132,0.20099989913403987,0.05599989913403988,0.08735238172113896,0.23235238172113895,-6.441364108766834e-10,0,0,1.5972405672073364,0.04431188106536865,-0.697695791721344,0.7080504298210144,-0.09960716962814331,-3.4914891719818115,-2.897500514984131,-7.437432765960693,-0.416107177734375,0.7580534815788269,1.1625657081604004,2.3433213233947754
10,SEARCHING,0.5225897431373596,-0.2449548840522766,0.020999932661652565,0.6884324550628662,-0.12247592955827713,0.26894599199295044,0.6492986083030701,-0.1063803881406784,0.44390159845352173,0.20616716146469116,0.24794605374336243,0.20099993266165256,0.05599993266165257,0.06794605933129788,0.21294605933129787,-1.8967700743388605e-09,0,0,1.6069685220718384,0.046796321868896484,-0.6942030191421509,0.7099788188934326,-0.10872995853424072,-3.139866590499878,-2.6823198795318604,-6.992483139038086,-0.3698580861091614,0.7001758217811584,1.0958999395370483,2.0964484214782715
