step,sim_time,selected_joint,cube_x,cube_y,cube_z,wrist_x,wrist_y,wrist_z,outer_mid_x,outer_mid_y,outer_mid_z,inner_mid_x,inner_mid_y,inner_mid_z,outer_mid_to_cube_xy,inner_mid_to_cube_xy,outer_mid_to_cube_3d,inner_mid_to_cube_3d,outer_finger_gap,inner_finger_gap,target_shoulder_pan_joint,actual_shoulder_pan_joint,error_shoulder_pan_joint,target_shoulder_lift_joint,actual_shoulder_lift_joint,error_shoulder_lift_joint,target_elbow_joint,actual_elbow_joint,error_elbow_joint,target_wrist_1_joint,actual_wrist_1_joint,error_wrist_1_joint,target_wrist_2_joint,actual_wrist_2_joint,error_wrist_2_joint,target_wrist_3_joint,actual_wrist_3_joint,error_wrist_3_joint,target_finger_joint,actual_finger_joint,error_finger_joint,actual_right_outer_knuckle_joint,actual_left_inner_finger_joint,actual_right_inner_finger_joint,actual_left_inner_finger_knuckle_joint,actual_right_inner_finger_knuckle_joint
1,0.01,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.060000000000000005,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.08,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.09999999999999999,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.10999999999999999,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.11999999999999998,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.12999999999999998,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.13999999999999999,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.15,shoulder_pan_joint,nan,nan,nan,1.1842502355575562,0.29070034623146057,0.06084994226694107,1.1842502355575562,0.2907003164291382,0.06084994971752167,1.1842501163482666,0.2907003164291382,0.06084994971752167,,,,,3.1828893298779803e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
